id_asegurado,segmento,antiguedad_anos,ciudad,numero_polizas,reclamos_ultimos_12m,mora_actual,score_cliente,en_lista_restrictiva
ASG-00001,PYME,4,Ambato,2,0,0,332.7,0
ASG-00002,Individual,12,Esmeraldas,1,2,0,404.6,0
ASG-00003,PYME,16,Santo Domingo,5,0,3,544.1,0
ASG-00004,Preferente,13,Quito,5,0,0,385.9,0
ASG-00005,Corporativo,19,Quito,1,3,0,502.2,0
ASG-00006,PYME,9,Riobamba,1,2,3,890.9,0
ASG-00007,Preferente,7,Riobamba,4,0,0,732.7,0
ASG-00008,Preferente,12,Riobamba,4,1,1,579.3,0
ASG-00009,Individual,4,Riobamba,2,0,0,629.9,0
ASG-00010,Individual,4,Machala,4,0,0,673.6,0
ASG-00011,Preferente,6,Ambato,4,2,2,862.0,0
ASG-00012,Corporativo,12,Riobamba,3,0,3,518.5,0
ASG-00013,PYME,12,Machala,3,0,3,532.8,0
ASG-00014,Corporativo,1,Manta,1,0,0,370.3,0
ASG-00015,Corporativo,5,Quito,2,0,0,375.6,0
ASG-00016,Corporativo,12,Machala,1,0,0,590.6,0
ASG-00017,PYME,15,Ambato,1,0,0,752.7,0
ASG-00018,Preferente,17,Ibarra,4,0,3,524.7,0
ASG-00019,Corporativo,2,Ambato,4,1,0,634.8,0
ASG-00020,PYME,5,Quito,1,0,1,787.6,0
ASG-00021,Corporativo,20,Machala,2,1,0,371.4,0
ASG-00022,Individual,13,Cuenca,2,0,3,578.8,0
ASG-00023,Corporativo,12,Guayaquil,2,0,3,513.8,0
ASG-00024,Preferente,15,Loja,2,1,1,802.2,1
ASG-00025,Corporativo,19,Cuenca,3,0,3,827.4,0
ASG-00026,PYME,1,Manta,4,0,0,805.7,0
ASG-00027,Individual,6,Portoviejo,4,0,3,329.1,0
ASG-00028,Individual,13,Loja,3,0,2,717.3,0
ASG-00029,PYME,16,Ibarra,5,0,0,323.8,0
ASG-00030,Preferente,18,Guayaquil,5,1,0,571.2,0
ASG-00031,Corporativo,19,Santo Domingo,1,0,2,773.3,1
ASG-00032,Corporativo,10,Ambato,2,0,0,705.2,1
ASG-00033,PYME,17,Esmeraldas,3,3,0,588.8,0
ASG-00034,Individual,4,Riobamba,3,0,2,895.9,0
ASG-00035,Individual,19,Machala,1,0,0,866.8,0
ASG-00036,PYME,19,Loja,3,0,2,741.1,0
ASG-00037,Corporativo,13,Machala,4,0,0,822.0,0
ASG-00038,Preferente,10,Manta,5,2,0,578.1,0
ASG-00039,PYME,7,Manta,2,0,2,655.5,0
ASG-00040,PYME,14,Ambato,1,1,0,719.4,0
ASG-00041,Preferente,4,Ambato,2,0,2,707.5,0
ASG-00042,Corporativo,2,Machala,5,0,3,802.4,0
ASG-00043,Corporativo,10,Machala,4,0,0,563.9,0
ASG-00044,Individual,5,Esmeraldas,2,0,2,395.6,0
ASG-00045,Preferente,16,Machala,1,0,3,721.3,0
ASG-00046,Preferente,13,Loja,2,1,0,432.2,0
ASG-00047,Preferente,1,Portoviejo,1,1,1,663.7,0
ASG-00048,Individual,5,Loja,4,0,0,741.8,0
ASG-00049,Corporativo,2,Ambato,4,1,1,472.7,0
ASG-00050,Preferente,18,Esmeraldas,3,1,2,746.2,0
ASG-00051,Preferente,8,Portoviejo,3,1,1,612.2,0
ASG-00052,Corporativo,18,Esmeraldas,2,1,1,659.4,0
ASG-00053,Corporativo,10,Manta,2,1,0,541.6,0
ASG-00054,Corporativo,13,Riobamba,1,1,3,424.5,0
ASG-00055,Individual,19,Ibarra,2,1,0,686.4,0
ASG-00056,PYME,18,Manta,2,0,0,743.2,0
