id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00001,ASG-00470,Generales,2024-08-13,2025-08-13,6694.24,121428.09,4773.02,Agente,Portoviejo,Cancelada
POL-00002,ASG-00404,Hogar,2024-03-17,2025-03-17,3421.33,120321.41,1769.46,Digital,Quito,Cancelada
POL-00003,ASG-00342,Vehículos,2023-02-08,2024-02-08,6658.18,104306.54,4347.64,Digital,Loja,Vencida
POL-00004,ASG-00254,Hogar,2023-12-26,2024-12-25,10297.7,149204.33,2482.9,Directo,Manta,Cancelada
POL-00005,ASG-00221,Vida,2023-11-15,2024-11-14,4685.73,79484.01,3718.24,Directo,Manta,Activa
POL-00006,ASG-00148,Vehículos,2023-12-22,2024-12-21,5586.97,135862.35,2607.92,Digital,Machala,Cancelada
POL-00007,ASG-00295,Hogar,2023-07-17,2024-07-16,10003.19,126794.77,5105.93,Directo,Manta,Activa
POL-00008,ASG-00376,Hogar,2023-02-02,2024-02-02,4443.04,56874.71,2480.02,Broker,Machala,Activa
POL-00009,ASG-00416,Hogar,2024-06-04,2025-06-04,1812.96,52465.13,456.58,Bancaseguros,Esmeraldas,Activa
POL-00010,ASG-00284,Salud,2023-02-11,2024-02-11,8687.6,118487.49,881.72,Digital,Cuenca,Activa
POL-00011,ASG-00226,Salud,2023-11-02,2024-11-01,3411.84,67033.4,1155.61,Digital,Portoviejo,Cancelada
POL-00012,ASG-00492,Generales,2024-04-22,2025-04-22,1406.59,48549.38,1935.02,Agente,Esmeraldas,Activa
POL-00013,ASG-00011,Vida,2024-11-12,2025-11-12,5982.9,116999.23,4061.42,Digital,Quito,Activa
POL-00014,ASG-00343,Generales,2024-06-08,2025-06-08,2780.59,106998.45,2267.96,Digital,Santo Domingo,Activa
POL-00015,ASG-00016,Vehículos,2024-10-24,2025-10-24,4240.38,66294.12,987.46,Broker,Ibarra,Activa
POL-00016,ASG-00471,Salud,2024-09-26,2025-09-26,7253.37,141791.94,3915.89,Broker,Quito,Activa
POL-00017,ASG-00232,Generales,2024-06-23,2025-06-23,6951.27,112587.3,1052.0,Agente,Portoviejo,Activa
POL-00018,ASG-00119,Hogar,2024-07-23,2025-07-23,1790.37,24631.84,137.94,Directo,Santo Domingo,Vencida
POL-00019,ASG-00403,Hogar,2023-03-10,2024-03-09,5838.3,125149.44,4968.61,Bancaseguros,Manta,Activa
POL-00020,ASG-00013,Salud,2023-11-25,2024-11-24,6126.28,91851.73,1630.35,Digital,Esmeraldas,Vencida
