id_proveedor,nombre_proveedor,tipo,ciudad,reclamos_asociados,monto_promedio_reclamado,casos_observados,porcentaje_casos_observados,en_lista_restrictiva,antiguedad_anos
PRV-0001,Intermediario Santo Domingo #1,Intermediario,Santo Domingo,6,13226.68,2,33.33,0,8
PRV-0002,Grúa Machala #2,Grúa,Machala,10,11796.97,3,30.0,0,15
PRV-0003,Clínica Manta #3,Clínica,Manta,56,2795.13,3,5.36,0,4
PRV-0004,Clínica Cuenca #4,Clínica,Cuenca,26,11260.77,3,11.54,0,3
PRV-0005,Intermediario Ambato #5,Intermediario,Ambato,27,2553.61,1,3.7,0,14
PRV-0006,Intermediario Portoviejo #6,Intermediario,Portoviejo,48,11055.78,1,2.08,0,10
PRV-0007,Hospital Manta #7,Hospital,Manta,8,2089.61,1,12.5,0,11
PRV-0008,Taller Manta #8,Taller,Manta,43,7674.3,3,6.98,0,10
PRV-0009,Clínica Riobamba #9,Clínica,Riobamba,21,16241.88,4,19.05,0,4
PRV-0010,Clínica Esmeraldas #10,Clínica,Esmeraldas,17,5333.07,5,29.41,0,12
PRV-0011,Abogado Riobamba #11,Abogado,Riobamba,26,19773.68,1,3.85,0,12
PRV-0012,Taller Ibarra #12,Taller,Ibarra,33,4640.55,1,3.03,0,7
PRV-0013,Clínica Riobamba #13,Clínica,Riobamba,24,12248.71,0,0.0,0,3
PRV-0014,Grúa Cuenca #14,Grúa,Cuenca,31,18116.36,3,9.68,0,4
PRV-0015,Abogado Portoviejo #15,Abogado,Portoviejo,2,19448.24,1,50.0,0,12
PRV-0016,Taller Loja #16,Taller,Loja,34,8675.35,0,0.0,0,4
PRV-0017,Abogado Cuenca #17,Abogado,Cuenca,15,7623.63,0,0.0,0,5
PRV-0018,Taller Santo Domingo #18,Taller,Santo Domingo,5,8899.5,2,40.0,0,10
PRV-0019,Hospital Cuenca #19,Hospital,Cuenca,29,18799.28,1,3.45,0,6
PRV-0020,Perito Guayaquil #20,Perito,Guayaquil,3,19410.68,1,33.33,0,12
PRV-0021,Intermediario Esmeraldas #21,Intermediario,Esmeraldas,6,7676.89,0,0.0,0,3
PRV-0022,Intermediario Cuenca #22,Intermediario,Cuenca,48,6516.46,5,10.42,0,11
PRV-0023,Taller Machala #23,Taller,Machala,28,6271.24,1,3.57,0,12
PRV-0024,Intermediario Guayaquil #24,Intermediario,Guayaquil,30,3504.65,5,16.67,0,14
PRV-0025,Grúa Guayaquil #25,Grúa,Guayaquil,55,8916.97,1,1.82,0,3
PRV-0026,Abogado Santo Domingo #26,Abogado,Santo Domingo,25,19823.76,3,12.0,0,5
PRV-0027,Abogado Riobamba #27,Abogado,Riobamba,18,18981.98,5,27.78,0,7
PRV-0028,Hospital Guayaquil #28,Hospital,Guayaquil,49,15926.86,3,6.12,0,9
PRV-0029,Hospital Guayaquil #29,Hospital,Guayaquil,49,5137.19,4,8.16,0,8
PRV-0030,Clínica Quito #30,Clínica,Quito,19,6722.36,3,15.79,0,6
PRV-0031,Taller Portoviejo #31,Taller,Portoviejo,1,19064.84,0,0.0,0,3
PRV-0032,Hospital Esmeraldas #32,Hospital,Esmeraldas,46,4197.68,2,4.35,0,3
PRV-0033,Perito Quito #33,Perito,Quito,58,18181.16,2,3.45,0,1
PRV-0034,Abogado Portoviejo #34,Abogado,Portoviejo,3,11378.69,3,100.0,0,10
PRV-0035,Taller Cuenca #35,Taller,Cuenca,23,18097.19,5,21.74,0,10
PRV-0036,Intermediario Guayaquil #36,Intermediario,Guayaquil,60,4605.02,1,1.67,0,4
PRV-0037,Perito Portoviejo #37,Perito,Portoviejo,31,13906.43,1,3.23,0,11
PRV-0038,Grúa Manta #38,Grúa,Manta,17,13588.67,3,17.65,0,14
PRV-0039,Taller Santo Domingo #39,Taller,Santo Domingo,40,17427.92,4,10.0,0,4
PRV-0040,Taller Riobamba #40,Taller,Riobamba,33,12017.85,3,9.09,0,7
PRV-0041,Perito Cuenca #41,Perito,Cuenca,33,15529.53,2,6.06,0,2
PRV-0042,Grúa Manta #42,Grúa,Manta,36,10247.35,4,11.11,0,7
PRV-0043,Grúa Quito #43,Grúa,Quito,22,3390.54,0,0.0,0,5
PRV-0044,Grúa Ibarra #44,Grúa,Ibarra,35,15321.94,4,11.43,0,5
PRV-0045,Abogado Manta #45,Abogado,Manta,53,15595.37,0,0.0,0,6
