id_vehiculo,id_asegurado,placa,chasis,motor,marca,modelo,ano,color,tipo
VEH-00001,ASG-00009,BZY-1240,4J7MWE6A2BYV0ISJB,PY4WN0250P2N,Suzuki,Swift,2015,Plateado,Pick-up
VEH-00002,ASG-00054,PKQ-4054,7XUX0GIUORWWPCG92,46KLECNE3CEQ,Ford,Ranger,2014,Blanco,Camioneta
VEH-00003,ASG-00147,CUM-3503,K1KTG2AN1T2L2MRU6,JMNZ6SC9BGT9,Hyundai,Elantra,2010,Rojo,Camioneta
VEH-00004,ASG-00141,MPU-8104,KL84TTPP8T5V0NGPM,B8DAHE70MUAK,Toyota,Prado,2023,Gris,Hatchback
VEH-00005,ASG-00198,PDE-2471,JKFU7H7B12UDWZDX3,FDCCPJQZ765I,Chevrolet,Cruze,2010,Blanco,Pick-up
VEH-00006,ASG-00202,ZAA-8784,T55WK2FHJKFHX4RNT,QJWN0HH4KBZK,Mazda,2,2012,Blanco,Sedán
VEH-00007,ASG-00196,OOB-6076,F16TG8WWTVBBKQ8HL,TQ99SCU1GHAW,Toyota,Fortuner,2018,Blanco,Camioneta
VEH-00008,ASG-00146,WMR-5377,CT04YOZDNNPKRQ9SG,LLULBA3R60AP,Renault,Stepway,2015,Gris,SUV
VEH-00009,ASG-00427,HJW-1209,AYOV57JZFQ8XAA1JT,7Z2C8B9QM6SZ,Mazda,CX-5,2023,Negro,Hatchback
VEH-00010,ASG-00262,KRA-8145,OKZD2XU1Y062E24Q2,FE2IY8X20OL1,Suzuki,Vitara,2016,Gris,Camioneta
VEH-00011,ASG-00459,MRH-4205,AKNMR0DL1E31LQ4Y1,3C7Y2125NUWP,Toyota,RAV4,2021,Azul,Camioneta
VEH-00012,ASG-00111,DZY-0749,058V83A7SVSKJNE1P,AX23FG9WLC3F,Ford,Explorer,2021,Azul,SUV
VEH-00013,ASG-00119,LQD-4649,21WWQCKQGXUKW3B4R,PHBS3ETLDO21,Renault,Koleos,2010,Negro,SUV
VEH-00014,ASG-00390,GRG-6638,SEFMQRP9U4LWLUCSQ,MNXEHLIGAHDI,Suzuki,Vitara,2022,Negro,Sedán
VEH-00015,ASG-00350,JET-0776,HRR5I24B95K7SVO1W,PJ1MXV6SF9KG,Kia,Picanto,2021,Gris,Camioneta
VEH-00016,ASG-00206,DKH-7750,MDZNXXK088KG3FY5G,XCWIZRR22BO5,Suzuki,S-Cross,2023,Gris,SUV
VEH-00017,ASG-00447,PDB-3797,25KYQ738G56TLAGTM,V4VSCN72K2EJ,Volkswagen,T-Cross,2015,Negro,Sedán
VEH-00018,ASG-00287,NHB-7054,4U3V6ZHM7G0VIWS7Y,36KZS1S0D4U8,Ford,Explorer,2015,Plateado,Sedán
VEH-00019,ASG-00245,DMX-8611,AA3MJM3FDZSSTNW6I,IIAUD8G6GWKD,Hyundai,Creta,2019,Gris,Sedán
VEH-00020,ASG-00457,NKF-4073,XPH5NDYA2BBT4Z7W5,UK4Q3J6N4NUA,Suzuki,Baleno,2019,Gris,Sedán
VEH-00021,ASG-00323,TUU-7981,APAM8P7SAPWDO7VZN,26KI1RXSZJVZ,Chevrolet,Aveo,2021,Gris,Sedán
VEH-00022,ASG-00128,SGH-0353,0H8U6W2LV2F6M7XYF,C00J9RC7OQS1,Kia,Sorento,2012,Plateado,SUV
VEH-00023,ASG-00166,ZAV-9251,2FX1KG0OXEUL8C9EY,S8JBZ8BBK2TE,Ford,Explorer,2014,Rojo,Camioneta
VEH-00024,ASG-00178,CKG-8003,BUGPLE4WU23AGG4YJ,EGCBV8I14IX4,Renault,Kwid,2025,Plateado,Pick-up
VEH-00025,ASG-00265,UMY-4317,MAJK1THKJVVBWLVZ7,GUPI0WETXPZ5,Renault,Kwid,2017,Negro,Camioneta
VEH-00026,ASG-00026,TQQ-1926,T7DR6CT2PB8HXBWUD,N39HL8VDHHKE,Suzuki,S-Cross,2020,Gris,Sedán
VEH-00027,ASG-00463,RJW-4736,PVLPB3TSUGLJ45KW0,7OJA7ADXKYQ1,Ford,EcoSport,2016,Azul,Sedán
